model,fold,C,gamma,features,fit_files,hold_files,fit_seconds,accuracy,macro_f1,balanced_accuracy,normal_recall,n_files,representation,stage
rbf_file_class_balanced,1,64,0.03125,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00134225003421307,0.705882352941177,0.685049019607843,0.763772175536881,1,34,one_second,train70
rbf_file_class_balanced,0,64,0.125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.0010984999826178,0.638888888888889,0.640182884748102,0.753472222222222,1,36,one_second,train70
rbf_file_class_balanced,1,64,0.125,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00125900004059076,0.823529411764706,0.840967365967366,0.848739495798319,1,34,one_second,train70
rbf_file_class_balanced,0,64,0.5,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00125987490173429,0.583333333333333,0.586720142602496,0.690972222222222,1,36,one_second,train70
rbf_file_class_balanced,1,64,0.5,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00138520798645914,0.794117647058823,0.820254822576804,0.820961718020542,1,34,one_second,train70
rbf_file_class_balanced,0,64,2,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00157254200894386,0.666666666666667,0.715431627196333,0.732638888888889,1,36,one_second,train70
rbf_file_class_balanced,1,64,2,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.0016994170146063,0.764705882352941,0.78514081027668,0.798319327731092,1,34,one_second,train70
rbf_file_class_balanced,0,256,0.03125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00109395908657461,0.722222222222222,0.715343086032741,0.829861111111111,1,36,one_second,train70
rbf_file_class_balanced,1,256,0.03125,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00122124992776662,0.852941176470588,0.867794486215539,0.863445378151261,1,34,one_second,train70
rbf_file_class_balanced,0,256,0.125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.000992582994513214,0.638888888888889,0.648148148148148,0.770833333333333,1,36,one_second,train70
rbf_file_class_balanced,1,256,0.125,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.0011032500769943,0.794117647058823,0.826668945089998,0.834033613445378,1,34,one_second,train70
rbf_file_class_balanced,0,256,0.5,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00107912498060614,0.666666666666667,0.715431627196333,0.732638888888889,1,36,one_second,train70
rbf_file_class_balanced,1,256,0.5,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00118537503294647,0.823529411764706,0.846570612050488,0.848739495798319,1,34,one_second,train70
rbf_file_class_balanced,0,256,2,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00161029200535268,0.666666666666667,0.715431627196333,0.732638888888889,1,36,one_second,train70
rbf_file_class_balanced,1,256,2,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.0018204590305686,0.764705882352941,0.790625,0.798319327731092,1,34,one_second,train70
rbf_file_class_balanced,0,1024,0.03125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00104737502988428,0.638888888888889,0.65345596432553,0.788194444444444,1,36,one_second,train70
rbf_file_class_balanced,1,1024,0.03125,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00109037500806153,0.794117647058823,0.826668945089998,0.834033613445378,1,34,one_second,train70
rbf_file_class_balanced,0,1024,0.125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00100366701371968,0.666666666666667,0.715431627196333,0.732638888888889,1,36,one_second,train70
rbf_file_class_balanced,1,1024,0.125,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.000992625020444393,0.794117647058823,0.826668945089998,0.834033613445378,1,34,one_second,train70
rbf_file_class_balanced,0,1024,0.5,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00107037497218698,0.694444444444444,0.750280112044818,0.763888888888889,1,36,one_second,train70
rbf_file_class_balanced,1,1024,0.5,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00114754098467529,0.823529411764706,0.847473604826546,0.835667600373483,1,34,one_second,train70
rbf_file_class_balanced,0,1024,2,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00167820893693715,0.666666666666667,0.715431627196333,0.732638888888889,1,36,one_second,train70
rbf_file_class_balanced,1,1024,2,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00185104203410447,0.882352941176471,0.866571834992888,0.857142857142857,1,34,one_second,train70
